Folder name,Folder Path,Filename,Direct Link,File Size,Filetype,File Extension
subject1_driving_large_motion_975,Shared drives > MR-NIRP Car > Subject1 > subject1_driving_large_motion_975 >,NIR.zip,https://drive.google.com/uc?id=1ozQhSxMm1PYYFeXnwsDjcYgPkDtMc9z3&export=download,4.03 GB,application/x-zip-compressed,zip
subject1_driving_large_motion_975,Shared drives > MR-NIRP Car > Subject1 > subject1_driving_large_motion_975 >,PulseOx.zip,https://drive.google.com/uc?id=1c_GhcGuazddsPOlHchhIwXDstP0sVk8B&export=download,277.71 KB,application/x-zip-compressed,zip
subject1_driving_large_motion_975,Shared drives > MR-NIRP Car > Subject1 > subject1_driving_large_motion_975 >,RGB.zip,https://drive.google.com/uc?id=1BusQKXQOVZB3C7XnzJRiaxEAlMB32zQ0&export=download,2.3 GB,application/x-zip-compressed,zip
subject1_driving_small_motion_940,Shared drives > MR-NIRP Car > Subject1 > subject1_driving_small_motion_940 >,NIR.zip,https://drive.google.com/uc?id=1USqV16rYkU78UlQOkTM-C8BfBXYihsFt&export=download,7.82 GB,application/x-zip-compressed,zip
subject1_driving_small_motion_940,Shared drives > MR-NIRP Car > Subject1 > subject1_driving_small_motion_940 >,PulseOX.zip,https://drive.google.com/uc?id=1EplyisbnC4ATEHE780Brdw953qDmzMHx&export=download,526.88 KB,application/x-zip-compressed,zip
subject1_driving_small_motion_940,Shared drives > MR-NIRP Car > Subject1 > subject1_driving_small_motion_940 >,RGB.zip,https://drive.google.com/uc?id=1quj561S9FS8BFan9g9D71jrfuwtzUAuu&export=download,4.49 GB,application/x-zip-compressed,zip
subject1_driving_small_motion_975,Shared drives > MR-NIRP Car > Subject1 > subject1_driving_small_motion_975 >,NIR.zip,https://drive.google.com/uc?id=1lSjTezF7jkvFa8-sJ3RNRqsyr4i9LUn0&export=download,5.9 GB,application/x-zip-compressed,zip
subject1_driving_small_motion_975,Shared drives > MR-NIRP Car > Subject1 > subject1_driving_small_motion_975 >,PulseOX.zip,https://drive.google.com/uc?id=1aGa2BO9qkTVt244grdbJFnQl8Iy7kAi-&export=download,399.69 KB,application/x-zip-compressed,zip
subject1_driving_small_motion_975,Shared drives > MR-NIRP Car > Subject1 > subject1_driving_small_motion_975 >,RGB.zip,https://drive.google.com/uc?id=1cNdMo_3rgOLeS6Kf943fX7i7Rv6QJ-gO&export=download,3.35 GB,application/x-zip-compressed,zip
subject1_driving_still_940,Shared drives > MR-NIRP Car > Subject1 > subject1_driving_still_940 >,NIR.zip,https://drive.google.com/uc?id=1fkwIPndI_Z_xfsnMfRJ3fDghfZZE8w8z&export=download,5.07 GB,application/x-zip-compressed,zip
subject1_driving_still_940,Shared drives > MR-NIRP Car > Subject1 > subject1_driving_still_940 >,PulseOX.zip,https://drive.google.com/uc?id=1x82hV044VhNruBfOyvE3QQ0_RDiVLM_m&export=download,340.49 KB,application/x-zip-compressed,zip
subject1_driving_still_940,Shared drives > MR-NIRP Car > Subject1 > subject1_driving_still_940 >,RGB.zip,https://drive.google.com/uc?id=14ywMVcdZR80h6Zwx2ZBrChZRZsv8DDj-&export=download,2.86 GB,application/x-zip-compressed,zip
subject1_driving_still_975,Shared drives > MR-NIRP Car > Subject1 > subject1_driving_still_975 >,NIR.zip,https://drive.google.com/uc?id=1sY0DBSRriPVf2u01o9EVyPZ008YColwT&export=download,6.09 GB,application/x-zip-compressed,zip
