Filename,Folder Path,File name,Direct Link,Size,Created At,Filetype,File Extension
subject1,Shared with me > UBFC_DATASET > DATASET_2 > subject1,ground_truth.txt,https://drive.google.com/uc?id=1fv-ALxIM3TygrJvNiT41MVBRWPr2Bi5a&export=download,72.52 KB,"April 13, 2020, 8:32:59 AM",text/plain,txt
subject1,Shared with me > UBFC_DATASET > DATASET_2 > subject1,vid.avi,https://drive.google.com/uc?id=1omSJF6JmxezLXJAIFGXTUZ36X17s11cz&export=download,1.33 GB,"April 13, 2020, 8:37:26 AM",video/x-msvideo,avi
subject3,Shared with me > UBFC_DATASET > DATASET_2 > subject3,ground_truth.txt,https://drive.google.com/uc?id=1XbitxumWjf-H2rXuY5G3HLWJiP5NHEK_&export=download,84.43 KB,"April 13, 2020, 9:04:39 AM",text/plain,txt
subject3,Shared with me > UBFC_DATASET > DATASET_2 > subject3,vid.avi,https://drive.google.com/uc?id=1oF9CikhubGGTk7wnc4kKuLQPp1dhGz5h&export=download,1.55 GB,"April 13, 2020, 9:09:08 AM",video/x-msvideo,avi
subject4,Shared with me > UBFC_DATASET > DATASET_2 > subject4,ground_truth.txt,https://drive.google.com/uc?id=1u1eWLMteyGHzagEd70jd3OwRw5gPSTON&export=download,64.13 KB,"May 25, 2020, 5:25:55 AM",text/plain,txt
subject4,Shared with me > UBFC_DATASET > DATASET_2 > subject4,vid.avi,https://drive.google.com/uc?id=1amObUUyMFv0pTkS6eP-EEN9IG08ky5XZ&export=download,1.17 GB,"May 25, 2020, 5:30:04 AM",video/x-msvideo,avi
subject5,Shared with me > UBFC_DATASET > DATASET_2 > subject5,ground_truth.txt,https://drive.google.com/uc?id=1zpbcYiarUxEbrpD1-xASqK8CEt06gGoS&export=download,72.66 KB,"May 25, 2020, 5:25:57 AM",text/plain,txt
subject5,Shared with me > UBFC_DATASET > DATASET_2 > subject5,vid.avi,https://drive.google.com/uc?id=1GMBeHi3Xbr9hc6y4c54oymeER-E__ZkE&export=download,1.33 GB,"May 25, 2020, 5:30:22 AM",video/x-msvideo,avi
subject8,Shared with me > UBFC_DATASET > DATASET_2 > subject8,ground_truth.txt,https://drive.google.com/uc?id=13Oz_mjiq0_KYjDVbVUy4zhBFf-K7xb4-&export=download,94.78 KB,"May 25, 2020, 5:30:05 AM",text/plain,txt
subject8,Shared with me > UBFC_DATASET > DATASET_2 > subject8,vid.avi,https://drive.google.com/uc?id=1yOLQckMSyMKgXWVIp001-Be7l0Gan5cH&export=download,1.74 GB,"May 25, 2020, 5:35:10 AM",video/x-msvideo,avi
subject9,Shared with me > UBFC_DATASET > DATASET_2 > subject9,ground_truth.txt,https://drive.google.com/uc?id=1vw7nYLqwATo8J0kvShTMTygKuswlIRmH&export=download,94.5 KB,"May 25, 2020, 5:30:23 AM",text/plain,txt
subject9,Shared with me > UBFC_DATASET > DATASET_2 > subject9,vid.avi,https://drive.google.com/uc?id=1EPa9KoZooblljO8ozujCsgF2aquoEXQi&export=download,1.73 GB,"May 25, 2020, 5:35:25 AM",video/x-msvideo,avi
subject10,Shared with me > UBFC_DATASET > DATASET_2 > subject10,ground_truth.txt,https://drive.google.com/uc?id=1QozdV5dRn9VgwC_ldsg2eI0hVWXuxG0S&export=download,94.88 KB,"April 13, 2020, 8:32:59 AM",text/plain,txt
subject10,Shared with me > UBFC_DATASET > DATASET_2 > subject10,vid.avi,https://drive.google.com/uc?id=1lPLydDqaiTTtHFpdAvJZU8CJhPBtY7AO&export=download,1.74 GB,"April 13, 2020, 8:38:47 AM",video/x-msvideo,avi
subject11,Shared with me > UBFC_DATASET > DATASET_2 > subject11,ground_truth.txt,https://drive.google.com/uc?id=1lHI8UCRvlXqGhFcSxhbtEr9KvGy1_lXh&export=download,95.21 KB,"April 13, 2020, 8:33:01 AM",text/plain,txt
subject11,Shared with me > UBFC_DATASET > DATASET_2 > subject11,vid.avi,https://drive.google.com/uc?id=1ab6aGVwiZgW5QMzcqy9-3o_g8JL_QEGb&export=download,1.74 GB,"April 13, 2020, 8:38:47 AM",video/x-msvideo,avi
subject12,Shared with me > UBFC_DATASET > DATASET_2 > subject12,ground_truth.txt,https://drive.google.com/uc?id=1SU6p0fcySQJ9_M5O9Di8rnm6qGwISchy&export=download,93.24 KB,"April 13, 2020, 8:37:28 AM",text/plain,txt
subject12,Shared with me > UBFC_DATASET > DATASET_2 > subject12,vid.avi,https://drive.google.com/uc?id=1Pn6cfmJrF67y3nJrDBT20AcB27sChzk6&export=download,1.71 GB,"April 13, 2020, 8:42:22 AM",video/x-msvideo,avi
subject13,Shared with me > UBFC_DATASET > DATASET_2 > subject13,ground_truth.txt,https://drive.google.com/uc?id=18EMQFLa5k3nxLDL4gLpGJUim6yIPhsGZ&export=download,94.6 KB,"April 13, 2020, 8:42:26 AM",text/plain,txt
subject13,Shared with me > UBFC_DATASET > DATASET_2 > subject13,vid.avi,https://drive.google.com/uc?id=1Vvym7WNOEx5aGfOPWHOZK9zLuar0HHPq&export=download,1.73 GB,"April 13, 2020, 8:48:14 AM",video/x-msvideo,avi
subject14,Shared with me > UBFC_DATASET > DATASET_2 > subject14,ground_truth.txt,https://drive.google.com/uc?id=1EVicw_n_k-LvDrQiiMgMxCzAYNm6LX_h&export=download,93.43 KB,"April 13, 2020, 8:42:26 AM",text/plain,txt
subject14,Shared with me > UBFC_DATASET > DATASET_2 > subject14,vid.avi,https://drive.google.com/uc?id=1Ca96-qQYZ2ohmQUTe0rDHWB5p8PBl9TX&export=download,1.71 GB,"April 13, 2020, 8:48:10 AM",video/x-msvideo,avi
subject15,Shared with me > UBFC_DATASET > DATASET_2 > subject15,ground_truth.txt,https://drive.google.com/uc?id=12vl96-2sXYtBx9pIcWLYoy0OGsoU2i_V&export=download,94.69 KB,"April 13, 2020, 8:42:28 AM",text/plain,txt
subject15,Shared with me > UBFC_DATASET > DATASET_2 > subject15,vid.avi,https://drive.google.com/uc?id=1zAP6MfHz5r-pTi5913ol8hdgNDwlfldG&export=download,1.73 GB,"April 13, 2020, 8:48:17 AM",video/x-msvideo,avi
subject16,Shared with me > UBFC_DATASET > DATASET_2 > subject16,ground_truth.txt,https://drive.google.com/uc?id=1tZahA8PyksKxxTxh39ZHyQUSNvVCAu4S&export=download,96.1 KB,"April 13, 2020, 8:48:20 AM",text/plain,txt
subject16,Shared with me > UBFC_DATASET > DATASET_2 > subject16,vid.avi,https://drive.google.com/uc?id=1gymVyjFAMTvFurg0iLLTNSyjSwTIO_JD&export=download,1.76 GB,"April 13, 2020, 8:54:15 AM",video/x-msvideo,avi
subject17,Shared with me > UBFC_DATASET > DATASET_2 > subject17,ground_truth.txt,https://drive.google.com/uc?id=14mpXC6WScr2Im5tLtuqcw5QfkwjLGLZP&export=download,95.91 KB,"April 13, 2020, 8:48:20 AM",text/plain,txt
subject17,Shared with me > UBFC_DATASET > DATASET_2 > subject17,vid.avi,https://drive.google.com/uc?id=1znNb8b_ohp0jv_PAa_VIndVyw7Ty9Mdy&export=download,1.76 GB,"April 13, 2020, 8:54:17 AM",video/x-msvideo,avi
subject18,Shared with me > UBFC_DATASET > DATASET_2 > subject18,ground_truth.txt,https://drive.google.com/uc?id=14n1Pvuhq-kfxqNESmCNDRwGK1nCTXnh9&export=download,95.35 KB,"April 13, 2020, 8:48:24 AM",text/plain,txt
subject18,Shared with me > UBFC_DATASET > DATASET_2 > subject18,vid.avi,https://drive.google.com/uc?id=1eby1Ja2DMLZVTFyVrC7RPudbNFBFLx1-&export=download,1.75 GB,"April 13, 2020, 8:54:15 AM",video/x-msvideo,avi
subject20,Shared with me > UBFC_DATASET > DATASET_2 > subject20,ground_truth.txt,https://drive.google.com/uc?id=1E3EvYC-nUfHYKSNUxSIsrC0zReY6HSln&export=download,94.51 KB,"April 13, 2020, 8:54:20 AM",text/plain,txt
subject20,Shared with me > UBFC_DATASET > DATASET_2 > subject20,vid.avi,https://drive.google.com/uc?id=1RO1s-M7Pg8ch-BzxcFertpMkYBfUjCXP&export=download,1.73 GB,"April 13, 2020, 9:00:02 AM",video/x-msvideo,avi
subject22,Shared with me > UBFC_DATASET > DATASET_2 > subject22,ground_truth.txt,https://drive.google.com/uc?id=1xaEVK3HbSSSgxKDjksZt9eCAQIEtvMBN&export=download,95.26 KB,"April 13, 2020, 8:54:20 AM",text/plain,txt
subject22,Shared with me > UBFC_DATASET > DATASET_2 > subject22,vid.avi,https://drive.google.com/uc?id=10VxCZGLR_sqIyStBcTT_6hbe9QQWEH7A&export=download,1.74 GB,"April 13, 2020, 9:00:10 AM",video/x-msvideo,avi
